text,label_sexist
"['my', 'mother', 'if', 'you', 'get', 'out', 'of', 'the', 'country', 'you', 'will', 'know', 'how', 'hard', 'life', 'be', 'because', 'you', 'do', 'not', 'even', 'have', 'the', 'dignity', 'to', 'wash', 'the', 'thing', 'you', 'use']",0
"['braulioc', 'jaja', 'ayay', 'what', 'be', 'the', 'attribute', 'for', 'be', 'bad', 'girl', 'if', 'i', 'do', 'it', 'with', 'anyone', 'then', 'i', 'would', 'be', 'bad', 'lady']",0
"['if', 'i', 'have', 'fall', 'cup', 'of', 'superman', 'who', 'give', 'my', 'partner', 'gift', 'and', 'broken', 'into', 'three', 'part', 'i', 'be', 'cry', 'like', 'girl', 'for', 'this']",0
"['someone', 'know', 'that', 'suso', 'have', 'the', 'task', 'of', 'wash', 'box', 'and', 'i', 'can', 'hardly', 'imagine', 'that', 'there', 'be', 'any']",0
"['koalita', 'have', 'her', 'friend', 'miriam', 'help', 'her', 'on', 'the', 'subject', 'of', 'meal', 'when', 'she', 'decide', 'to', 'separate', 'from', 'the', 'kitchen']",0
"['heaven', 'anger', 'such', 'a', 'love', 'turn', 'into', 'hatred', 'nor', 'hell', 'rage', 'like', 'despise', 'woman']",0
"['oviedohec', 'seriously', 'pio']",1
"['white', 'and', 'light', 'tone', 'give', 'the', 'kitchen', 'clarity', 'and', 'cosy', 'feel', 'and', 'white', 'always', 'combine']",0
"['angeldebritook', 'it', 'be', 'marimacho', 'with', 'male', 'attitude', 'and', 'face', 'full', 'of', 'hatred']",0
"['in', 'the', 'book', 'on', 'woman', 'that', 'i', 'be', 'reading', 'i', 'learn', 'some', 'thing', 'in', 'argentina', 'feminist', 'woman', 'exist']",0
"['ana_torroja', 'menudo', 'coñazo', 'you', 'fight', 'like', 'woman', 'that', 'be', 'man', 'job', 'if', 'you', 'be', 'girl']",1
"['amaier', 'stoph', 'lauramd', 'ceperoi', 'naiblackk', 'brañoislamm', 'topoffice', 'aitana_ot', 'cepeda_ot']",0
"['yesterday', 'friend', 'told', 'that', 'i', 'speak', 'very', 'correctly', 'a', 'right', 'girl', 'and', 'i', 'felt', 'like', 'mary', 'poppins', 'herself']",0
"['you', 'can', 'not', 'dress', 'like', 'that', 'do', 'you', 'want', 'to', 'provoke']",1
"['rizhoma', 'hotel', 'bridge', 'for', 'what', 'be', 'go', 'on', 'if', 'you', 'be', 'come', 'to', 'work', 'you', 'would', 'have', 'stayed', 'in', 'the', 'door']",1
"['gestionpe', 'woman', 'at', 'the', 'wheel', 'constant', 'danger', 'man', 'behind', 'the', 'wheel', 'hallucinate', 'version', 'of', 'fast', 'and', 'furious']",1
"['broke', 'beer', 'be', 'man', 'thing', 'woman', 'should', 'not', 'drink', 'it']",1
"['delfinaaguirre_woman', 'have', 'to', 'always', 'be', 'offering', 'the', 'apple', 'of', 'ahr']",1
"['i', 'have', 'come', 'down', 'for', 'glass', 'of', 'water', 'and', 'i', 'have', 'be', 'take', 'byebye']",0
"['myswtpride', 'sisiuve', 'bts_twt', 'nice', 'little', 'insurance', 'girl', 'bts_tw']",1
"['yosoynia', 'tintaporsangre', 'work', 'like', 'black', 'man', 'be', 'girl', 'fag', 'all', 'these', 'have', 'negative', 'meaning']",1
"['i', 'see', 'her', 'a', 'the', 'same', 'psychopath', 'a', 'the', 'baby', 'place']",0
