text,label
"['for', 'woman', 'that', 'be', 'good']",1
"['just', 'dress', 'sexy', 'and', 'you', 'will', 'sign', 'any', 'contract']",1
"['be', 'you', 'have', 'period']",1
"['stop', 'be', 'bitchy']",1
"['i', 'leave', 'early', 'because', 'of', 'her', 'child', 'instead', 'of', 'my', 'husband']",1
"['you', 'can', 'thank', 'the', 'quota']",1
"['she', 'would', 'never', 'have', 'get', 'this', 'job', 'if', 'she', 'be', 'not', 'woman']",1
"['that', 'be', 'woman', 'thing']",1
"['you', 'be', 'too', 'emotional']",1
"['you', 'have', 'to', 'wear', 'dress']",1
"['you', 'have', 'to', 'wear', 'skirt']",1
"['high', 'heel', 'be', 'mandatory']",1
"['act', 'like', 'girl', 'but', 'think', 'like', 'man']",1
"['woman', 'empowerment', 'begin', 'at', 'home']",1
"['be', 'you', 'planning', 'to', 'have', 'child']",1
"['youre', 'still', 'not', 'married']",1
"['you', 'should', 'marry', 'later', 'it', 'be', 'well', 'for', 'your', 'career']",1
"['do', 'not', 'be', 'so', 'feminist']",1
"['woman', 'can', 'do', 'anything', 'man', 'can']",0
"['high', 'position', 'well', 'suit', 'to', 'men']",1
"['it', 'be', 'not', 'your', 'fault', 'you', 'be', 'woman']",1
"['woman', 'should', 'take', 'care', 'of', 'run', 'their', 'home']",1
"['leave', 'run', 'the', 'company', 'up', 'to', 'men']",1
"['woman', 'be', 'problem']",1
"['i', 'should', 'kiss', 'you', 'it', 'would', 'be', 'shame', 'to', 'deprive', 'myself']",1
"['ill', 'explain', 'to', 'you', 'with', 'simple', 'word', 'so', 'that', 'you', 'understand']",1
"['we', 'know', 'why', 'she', 'be', 'hire']",1
"['dont', 'worry', 'for', 'her', 'her', 'husband', 'be', 'make', 'good', 'living']",1
"['fortunately', 'you', 'do', 'not', 'earn', 'more', 'than', 'your', 'boyfriend']",1
"['youre', 'pregnant', 'i', 'thought', 'you', 'be', 'motivate']",1
"['we', 'recruit', 'new', 'commercial', 'very', 'nice', 'woman']",1
"['we', 'have', 'man', 'for', 'this', 'project', 'but', 'they', 'absolutely', 'want', 'woman', 'so', 'be', 'ask', 'you']",1
"['i', 'try', 'to', 'promote', 'woman', 'although', 'the', 'file', 'be', 'technical']",1
"['do', 'you', 'feel', 'able', 'to', 'take', 'on', 'this', 'task']",1
"['you', 'wont', 'go', 'get', 'u', 'coffee']",1
"['you', 'be', 'professional', 'woman']",0
"['you', 'be', 'in', 'patriarchal', 'company']",1
"['weakness', 'be', 'woman', 'issue']",1
"['it', 'be', 'work', 'men']",1
"['woman', 'be', 'homemaker']",1
"['men', 'be', 'make', 'to', 'work', 'hard', 'and', 'woman', 'to', 'be', 'homemaker']",1
"['this', 'job', 'be', 'make', 'for', 'all']",0
"['human', 'be', 'men', 'and', 'woman']",0
"['men', 'be', 'speaker', 'and', 'woman', 'be', 'writer']",1
"['all', 'candidate', 'be', 'accepted']",0
"['if', 'you', 'want', 'this', 'job', 'think', 'like', 'man']",1
"['this', 'outfit', 'suit', 'you', 'well']",0
"['it', 'be', 'good', 'team']",0
"['woman', 'learn', 'slowly']",1
"['everybody', 'here', 'be', 'competent']",0
"['all', 'type', 'of', 'people', 'be', 'useful']",0
"['you', 'be', 'a', 'intelligent', 'a', 'this', 'guy']",0
"['great', 'job']",0
"['you', 'have', 'to', 'more', 'apply', 'a', 'woman']",1
"['both', 'woman', 'and', 'men', 'leadership', 'can', 'exist']",0
"['woman', 'be', 'much', 'more', 'sensitive', 'than', 'men']",1
"['woman', 'always', 'get', 'more', 'upset', 'than', 'men']",1
"['please', 'miss', 'be', 'nice', 'and', 'bring', 'u', 'some', 'coffee']",1
"['gender', 'diversity', 'be', 'key', 'to', 'good', 'performance']",0
"['it', 'not', 'her', 'fault', 'shes', 'woman']",1
"['it', 'be', 'good', 'personality']",0
"['what', 'about', 'her', 'career', 'if', 'she', 'get', 'pregnant', 'now']",1
"['this', 'job', 'be', 'for', 'lady', 'not', 'gentleman']",1
"['aesthetic', 'job', 'be', 'reserve', 'for', 'woman']",1
"['woman', 'first']",0
"['let', 'her', 'take', 'care', 'of', 'that', 'it', 'woman', 'thing']",1
"['everyone', 'be', 'treat', 'to', 'their', 'true', 'value']",0
"['woman', 'and', 'men', 'can', 'collaborate', 'in', 'any', 'situation']",0
"['this', 'project', 'can', 'be', 'lead', 'by', 'woman', 'just', 'like', 'man']",0
